ligbuilder_molecules;fragment
No_0_316,No_0_317;[Fm]C[NH2+]Cc1c(noc1)C
No_0_318,No_0_319;[Fm]C[NH2+]Cc1c(oc(c1)C)C
No_0_320;[Fm]C[NH2+]Cc1c(onc1C)C
No_0_321,No_0_322;[Fm]C[NH2+]Cc1cc(Br)nn1C
No_0_324;[Fm]C[NH2+]Cc1cc(F)ccc1C,[Fm]C[NH2+]Cc1ccc(F)cc1C
No_0_325,No_0_326;[Fm]C[NH2+]Cc1cc(OC)no1
No_0_327,No_0_328,No_0_329;[Fm]C[NH2+]Cc1cc([nH]n1)C
No_0_330;[Fm]C[NH2+]Cc1cc(cc(c1)C)C
No_0_331;[Fm]C[NH2+]Cc1cc(ccc1N)C
No_0_332,No_0_333,No_0_334;[Fm]C[NH2+]Cc1cc[nH]n1
No_0_335,No_0_336,No_0_337;[Fm]C[NH2+]Cc1cc(n[nH]1)C
No_0_338;[Fm]C[NH2+]Cc1cc(nc(c1)C)C
No_0_339;[Fm]C[NH2+]Cc1cc(nn1C)C
No_0_340,No_0_341,No_0_342,No_0_343;[Fm]C[NH2+]Cc1cc(no1)C
No_0_349;[Fm]C[NH2+]Cc1ccc(F)c(c1)C,[Fm]C[NH2+]Cc1ccc(c(F)c1)C
No_0_350;[Fm]C[NH2+]Cc1ccc(F)cc1
No_0_351;[Fm]C[NH2+]Cc1ccc(N)cc1
No_0_352,No_0_353,No_0_354;[Fm]C[NH2+]Cc1ccc(N)cn1
No_0_355;[Fm]C[NH2+]Cc1ccc(cn1)C
No_0_356,No_0_357,No_0_358;[Fm]C[NH2+]Cc1ccc(n1C)C
No_0_359;[Fm]C[NH2+]Cc1cccc(F)c1N
No_0_360,No_0_361;[Fm]C[NH2+]Cc1cccc(N)c1C
No_0_362;[Fm]C[NH2+]Cc1cccc(O)c1
No_0_363;[Fm]C[NH2+]Cc1cccc(c1)C
No_0_369,No_0_370;[Fm]C[NH2+]Cc1ccccc1Cl
No_0_372,No_0_373;[Fm]C[NH2+]Cc1cccn1C
No_0_374,No_0_375;[Fm]C[NH2+]Cc1cccnc1C
No_0_376,No_0_377,No_0_378,No_0_379,No_0_380,No_0_381,No_0_382;[Fm]C[NH2+]Cc1ccco1
No_0_383,No_0_384,No_0_385,No_0_386,No_0_387,No_0_388,No_0_389;[Fm]C[NH2+]Cc1ccn[nH]1
No_0_390,No_0_391,No_0_392;[Fm]C[NH2+]Cc1ccncc1
No_0_395,No_0_396,No_0_397,No_0_398,No_0_399;[Fm]C[NH2+]Cc1ccncn1
No_0_400,No_0_401;[Fm]C[NH2+]Cc1ccnn1C
No_0_402,No_0_403,No_0_404;[Fm]C[NH2+]Cc1cn(C)cn1
No_0_405,No_0_406,No_0_407,No_0_408,No_0_409,No_0_410,No_0_411,No_0_412,No_0_413;[Fm]C[NH2+]Cc1cn[nH]c1
No_0_414,No_0_415,No_0_416;[Fm]C[NH2+]Cc1cnc2cnccn21
No_0_417,No_0_418;[Fm]C[NH2+]Cc1cnc(O)cc1
No_0_419;[Fm]C[NH2+]Cc1cnc(cc1C)C
No_0_421;[Fm]C[NH2+]Cc1cnc(nc1C)C
